,word,start,end,score,speaker
1088,Cool.,552.808,552.908,0.0,SPEAKER_01
1089,When,552.928,553.088,0.98,SPEAKER_01
1090,was,553.128,553.228,0.762,SPEAKER_01
1091,the,553.288,553.388,0.8,SPEAKER_01
1092,last,553.469,553.729,0.911,SPEAKER_01
1093,time,553.789,554.009,0.9,SPEAKER_01
1094,you,554.049,554.169,0.734,SPEAKER_01
1095,considered,554.229,554.73,0.93,SPEAKER_01
1096,ending,554.77,555.19,0.924,SPEAKER_01
1097,this,555.23,555.37,0.887,SPEAKER_01
1098,relationship?,555.43,556.251,0.775,SPEAKER_01
1099,And,556.822,557.002,0.679,SPEAKER_01
1100,why,557.042,557.243,0.853,SPEAKER_01
1101,didn't,557.323,557.543,0.763,SPEAKER_01
1102,you?,557.663,558.665,0.817,SPEAKER_01
1103,You're,558.705,558.826,0.288,SPEAKER_01
1104,not,558.846,558.946,0.629,SPEAKER_01
1105,going,558.966,559.066,0.33,SPEAKER_01
1106,to,559.086,559.126,0.34,SPEAKER_01
1107,like,559.166,559.346,0.623,SPEAKER_01
1108,this,559.366,559.607,0.393,SPEAKER_01
1109,answer.,559.627,560.028,0.779,SPEAKER_01
1110,Sometimes,561.63,562.111,0.756,SPEAKER_01
1111,I,562.191,562.231,0.674,SPEAKER_01
1112,just,562.472,562.712,0.466,SPEAKER_01
1113,don't,562.772,562.953,0.648,SPEAKER_01
1114,like,562.993,563.173,0.744,SPEAKER_01
1115,things.,563.193,563.474,0.492,SPEAKER_01
1116,"No,",563.494,563.754,0.504,SPEAKER_00
1117,"yeah,",563.774,564.035,0.484,SPEAKER_00
1118,it's,564.095,564.175,0.256,SPEAKER_00
1119,fine.,564.235,564.515,0.719,SPEAKER_00
1120,You,564.576,564.636,0.114,SPEAKER_00
1121,don't,564.736,564.836,0.012,SPEAKER_01
1122,have,564.856,564.936,0.025,SPEAKER_01
1123,to,564.956,564.996,0.002,SPEAKER_01
1124,say,565.016,565.076,0.316,SPEAKER_01
1125,it.,565.097,565.157,0.669,SPEAKER_01
1126,I,566.239,566.299,0.947,SPEAKER_01
1127,consider,566.339,566.639,0.819,SPEAKER_01
1128,it,566.679,566.739,0.741,SPEAKER_01
1129,often.,566.84,567.14,0.949,SPEAKER_01
1130,"Yeah,",568.422,568.563,0.343,SPEAKER_01
1131,I,568.663,568.863,0.521,SPEAKER_01
1132,knew,568.923,569.264,0.566,SPEAKER_01
1133,that,571.768,571.848,0.452,SPEAKER_01
1134,was,572.049,572.229,0.731,SPEAKER_01
1135,coming.,572.349,572.79,0.523,SPEAKER_01
1136,But,573.151,573.211,0.0,SPEAKER_01
1137,not,573.231,573.311,0.626,SPEAKER_01
1138,because,573.351,573.571,0.904,SPEAKER_01
1139,I'm,573.631,573.812,0.877,SPEAKER_01
1140,like,574.593,574.854,0.965,SPEAKER_01
1141,anywhere,575.675,576.076,0.694,SPEAKER_01
1142,near,576.396,576.757,0.863,SPEAKER_01
1143,finished,576.957,577.298,0.841,SPEAKER_01
1144,with,577.358,577.438,0.145,SPEAKER_01
1145,you.,577.458,578.821,0.664,SPEAKER_01
1146,I,579.963,580.023,0.601,SPEAKER_01
1147,have,580.063,580.804,0.822,SPEAKER_01
1148,being,581.257,581.637,0.722,SPEAKER_01
1149,in,582.018,582.138,0.887,SPEAKER_01
1150,really,582.358,582.578,0.814,SPEAKER_01
1151,beautiful,582.638,583.019,0.699,SPEAKER_01
1152,relationships,583.079,583.679,0.838,SPEAKER_01
1153,before,583.719,584.12,0.899,SPEAKER_01
1154,where,584.22,584.36,0.917,SPEAKER_01
1155,I,584.42,584.46,0.889,SPEAKER_01
1156,wasn't,584.58,584.86,0.69,SPEAKER_01
1157,checking,584.96,585.281,0.949,SPEAKER_01
1158,in,585.341,585.421,0.927,SPEAKER_01
1159,with,585.741,585.861,0.878,SPEAKER_01
1160,"myself,",585.921,586.342,0.812,SPEAKER_01
1161,with,586.462,586.582,0.939,SPEAKER_01
1162,my,586.642,586.722,0.996,SPEAKER_01
1163,"relationship,",586.782,587.322,0.819,SPEAKER_01
1164,how,587.342,587.402,0.173,SPEAKER_01
1165,I,587.463,587.503,0.941,SPEAKER_01
1166,was,587.563,587.683,0.846,SPEAKER_01
1167,feeling,587.723,588.003,0.957,SPEAKER_01
1168,in,588.063,588.103,0.839,SPEAKER_01
1169,it.,588.183,588.243,0.989,SPEAKER_01
1170,Like,588.804,588.924,0.731,SPEAKER_01
1171,I,588.984,589.024,0.568,SPEAKER_01
1172,have,589.044,589.164,0.716,SPEAKER_01
1173,made,589.224,589.404,0.927,SPEAKER_01
1174,that,589.464,589.584,0.976,SPEAKER_01
1175,mistake,589.665,590.105,0.879,SPEAKER_01
1176,of,590.225,590.305,0.977,SPEAKER_01
1177,just,590.345,590.485,0.933,SPEAKER_01
1178,being,590.505,590.705,0.827,SPEAKER_01
1179,"like,",590.745,590.906,0.734,SPEAKER_01
1180,"okay,",591.006,591.306,0.581,SPEAKER_01
1181,it,591.346,591.406,0.639,SPEAKER_01
1182,was,591.466,591.586,0.835,SPEAKER_01
1183,good,591.666,591.886,0.952,SPEAKER_01
1184,for,592.707,592.807,0.99,SPEAKER_01
1185,those,592.847,593.048,0.859,SPEAKER_01
1186,five,593.448,593.668,0.878,SPEAKER_01
1187,months,593.728,593.948,0.807,SPEAKER_01
1188,in,594.008,594.088,0.966,SPEAKER_01
1189,the,594.128,594.229,0.73,SPEAKER_01
1190,beginning,594.269,594.609,0.962,SPEAKER_01
1191,and,594.649,595.43,0.824,SPEAKER_01
1192,we,595.77,595.87,0.986,SPEAKER_01
1193,still,595.91,596.09,0.701,SPEAKER_01
1194,talk,596.13,596.31,0.93,SPEAKER_01
1195,every,596.551,596.691,0.938,SPEAKER_01
1196,day,596.731,596.971,0.916,SPEAKER_01
1197,or,597.011,597.211,0.696,SPEAKER_01
1198,"whatever,",597.251,597.672,0.936,SPEAKER_01
1199,so,597.772,597.892,0.984,SPEAKER_01
1200,it's,597.952,598.032,0.521,SPEAKER_01
1201,still,598.052,598.292,0.703,SPEAKER_01
1202,good.,598.312,598.512,0.875,SPEAKER_01
1203,"Nah,",600.374,600.875,0.407,SPEAKER_01
1204,I've,600.895,600.995,0.424,SPEAKER_01
1205,learned,601.035,601.215,0.29,SPEAKER_01
1206,the,601.395,601.495,0.977,SPEAKER_01
1207,hard,601.535,601.735,0.92,SPEAKER_01
1208,way,601.755,601.855,0.986,SPEAKER_01
1209,that,601.895,601.975,0.814,SPEAKER_01
1210,that's,602.016,602.196,0.724,SPEAKER_01
1211,really,602.256,602.496,0.829,SPEAKER_01
1212,not,602.536,602.676,0.513,SPEAKER_01
1213,how,602.716,602.816,0.817,SPEAKER_01
1214,that,602.856,602.976,0.903,SPEAKER_01
1215,works.,603.016,603.297,0.855,SPEAKER_01
1216,So,607.58,607.681,0.986,SPEAKER_01
1217,I,607.761,607.801,0.765,SPEAKER_01
1218,ask,607.901,608.681,0.666,SPEAKER_01
1219,myself,608.722,609.002,0.947,SPEAKER_01
1220,often,609.162,609.462,0.889,SPEAKER_01
1221,"like,",609.522,610.403,0.895,SPEAKER_01
1222,Do,610.484,610.685,0.816,SPEAKER_01
1223,I,610.786,610.846,0.989,SPEAKER_01
1224,still...,610.907,611.269,0.952,SPEAKER_01
1225,Am,612.375,612.476,0.702,SPEAKER_01
1226,I,612.516,612.577,0.929,SPEAKER_01
1227,still,612.597,612.798,0.762,SPEAKER_01
1228,in,612.979,613.1,0.884,SPEAKER_01
1229,love?,613.2,613.462,0.986,SPEAKER_01
1230,Am,613.663,613.764,0.815,SPEAKER_01
1231,I,613.844,613.904,0.899,SPEAKER_01
1232,still...,613.965,614.689,0.948,SPEAKER_01
1233,happy,615.597,615.958,0.973,SPEAKER_01
1234,to,615.978,616.078,0.828,SPEAKER_01
1235,be,616.118,616.258,0.85,SPEAKER_01
1236,in,616.298,616.338,0.914,SPEAKER_01
1237,this,616.418,616.538,0.942,SPEAKER_01
1238,relationship.,616.599,617.28,0.853,SPEAKER_01
1239,Do,617.68,617.78,0.978,SPEAKER_01
1240,I,617.861,617.921,0.979,SPEAKER_01
1241,feel,617.961,618.141,0.98,SPEAKER_01
1242,like,618.181,618.381,0.898,SPEAKER_01
1243,this,618.482,618.622,0.882,SPEAKER_01
1244,relationship,618.662,619.403,0.851,SPEAKER_01
1245,is,620.144,620.304,0.895,SPEAKER_01
1246,in,620.344,620.885,0.821,SPEAKER_01
1247,service,620.945,621.346,0.874,SPEAKER_01
1248,of,621.406,621.466,0.972,SPEAKER_01
1249,me?,621.546,621.707,0.965,SPEAKER_01
1250,Do,621.747,621.827,0.994,SPEAKER_01
1251,I,621.887,621.947,0.982,SPEAKER_01
1252,feel,621.967,622.147,0.836,SPEAKER_01
1253,like,622.187,622.328,0.949,SPEAKER_01
1254,I,622.528,622.588,0.925,SPEAKER_01
1255,am,622.668,622.728,0.707,SPEAKER_01
1256,doing,622.788,622.989,0.882,SPEAKER_01
1257,my,623.049,623.149,0.98,SPEAKER_01
1258,part,623.189,623.409,0.998,SPEAKER_01
1259,in,623.449,623.529,0.744,SPEAKER_01
1260,service,623.589,623.93,0.783,SPEAKER_01
1261,of,624.01,624.11,0.411,SPEAKER_01
1262,you?,624.15,624.351,0.979,SPEAKER_01
1263,Do,624.411,624.471,0.782,SPEAKER_01
1264,I,624.551,624.611,0.945,SPEAKER_01
1265,feel,624.651,624.831,0.454,SPEAKER_01
1266,like,624.851,625.052,0.864,SPEAKER_01
1267,I,625.593,625.673,0.911,SPEAKER_01
1268,am,625.853,625.953,0.912,SPEAKER_01
1269,for,626.454,626.654,0.946,SPEAKER_01
1270,you?,626.714,626.915,0.946,SPEAKER_01
1271,Do,627.395,627.516,0.452,SPEAKER_01
1272,you,627.536,627.596,0.004,SPEAKER_01
1273,know,627.616,627.796,0.535,SPEAKER_01
1274,what,628.317,628.397,0.001,SPEAKER_00
1275,I,628.417,628.437,0.001,SPEAKER_00
1276,mean?,628.457,628.597,0.437,SPEAKER_01
1277,It's,629.078,629.218,0.472,SPEAKER_01
1278,really,629.238,629.419,0.927,SPEAKER_01
1279,easy,629.539,629.719,0.552,SPEAKER_01
1280,to,629.779,629.859,0.866,SPEAKER_01
1281,get,629.899,630.02,0.862,SPEAKER_01
1282,comfortable,630.14,630.701,0.893,SPEAKER_01
1283,and,630.901,630.961,0.949,SPEAKER_01
1284,then,631.001,631.121,0.975,SPEAKER_01
1285,just,631.181,631.302,0.866,SPEAKER_01
1286,keep,631.362,631.582,0.89,SPEAKER_01
1287,someone,631.642,632.003,0.873,SPEAKER_01
1288,because,632.063,632.263,0.874,SPEAKER_01
1289,they,632.303,632.423,0.964,SPEAKER_01
1290,make,632.483,632.644,0.966,SPEAKER_01
1291,you,632.684,632.804,0.923,SPEAKER_01
1292,feel,632.864,633.084,0.834,SPEAKER_01
1293,"good,",633.124,633.345,0.963,SPEAKER_01
1294,but,633.385,633.465,0.998,SPEAKER_01
1295,you're,633.485,633.665,0.936,SPEAKER_01
1296,not,633.685,633.805,0.821,SPEAKER_01
1297,adding,634.006,634.186,0.944,SPEAKER_01
1298,to,634.226,634.286,0.936,SPEAKER_01
1299,them.,634.306,634.426,0.676,SPEAKER_01
1300,I've,634.847,635.588,0.901,SPEAKER_01
1301,seen,635.628,635.869,0.766,SPEAKER_01
1302,people,636.169,636.45,0.798,SPEAKER_01
1303,watch,637.852,638.032,0.922,SPEAKER_01
1304,their,638.052,638.152,0.573,SPEAKER_01
1305,partner,638.232,638.473,0.665,SPEAKER_01
1306,deteriorate.,638.513,639.094,0.657,SPEAKER_01
1307,Do,639.635,639.675,0.001,SPEAKER_00
1308,you,639.695,639.755,0.004,SPEAKER_00
1309,know,639.775,639.875,0.578,SPEAKER_00
1310,what,639.895,639.975,0.36,SPEAKER_00
1311,I,639.995,640.015,0.973,SPEAKER_01
1312,mean?,640.055,640.195,0.823,SPEAKER_01
1313,I've,640.215,640.336,0.312,SPEAKER_01
1314,been,640.356,640.516,0.824,SPEAKER_01
1315,that,640.576,640.676,0.961,SPEAKER_01
1316,partner.,640.736,641.077,0.63,SPEAKER_01
1317,I've,641.097,641.177,0.06,SPEAKER_01
1318,actually,641.217,641.517,0.81,SPEAKER_01
1319,done,641.878,642.018,0.778,SPEAKER_01
1320,that,642.058,642.179,0.887,SPEAKER_01
1321,myself.,642.239,643.14,0.921,SPEAKER_01
1322,So,643.863,644.063,0.763,SPEAKER_01
1323,I,644.103,644.163,0.935,SPEAKER_01
1324,ask,644.223,644.344,0.872,SPEAKER_01
1325,myself,644.364,644.624,0.819,SPEAKER_01
1326,"often,",644.724,645.064,0.933,SPEAKER_01
1327,"like,",645.205,645.485,0.983,SPEAKER_01
1328,what,646.787,646.927,0.315,SPEAKER_01
1329,we're,646.947,647.047,0.091,SPEAKER_01
1330,doing?,647.067,647.187,0.168,SPEAKER_01
1331,Are,647.207,647.267,0.275,SPEAKER_01
1332,we,647.287,647.347,0.863,SPEAKER_01
1333,still...,647.387,648.248,0.565,SPEAKER_01
1334,Is,648.268,648.329,0.849,SPEAKER_01
1335,it,648.389,648.449,0.794,SPEAKER_01
1336,still,648.469,648.649,0.881,SPEAKER_01
1337,good?,648.689,648.849,0.744,SPEAKER_01
1338,Is,648.869,648.909,0.674,SPEAKER_01
1339,it,648.989,649.049,0.171,SPEAKER_01
1340,still,649.069,649.21,0.492,SPEAKER_01
1341,healthy?,649.27,649.65,0.874,SPEAKER_01
1342,I,650.691,651.532,0.849,SPEAKER_01
1343,must,651.572,651.733,0.893,SPEAKER_01
1344,"admit,",651.793,652.033,0.906,SPEAKER_01
1345,I,652.534,652.634,0.879,SPEAKER_01
1346,really,652.674,652.854,0.401,SPEAKER_01
1347,think,652.874,652.974,0.489,SPEAKER_01
1348,that's,652.994,653.134,0.265,SPEAKER_01
1349,such,653.174,653.375,0.936,SPEAKER_01
1350,a,653.415,653.435,0.957,SPEAKER_01
1351,healthy...,653.495,654.176,0.842,SPEAKER_01
1352,"Yeah,",654.196,654.456,0.498,SPEAKER_01
1353,but,654.476,654.576,0.97,SPEAKER_01
1354,you,654.596,654.696,0.966,SPEAKER_01
1355,hate,654.776,654.977,0.468,SPEAKER_01
1356,it,654.997,655.037,0.107,SPEAKER_01
1357,every,655.057,655.237,0.462,SPEAKER_01
1358,time,655.317,655.457,0.303,SPEAKER_01
1359,I,655.477,655.497,0.243,SPEAKER_01
1360,said,655.517,655.798,0.488,SPEAKER_01
1361,it.,655.818,655.878,0.053,SPEAKER_01
1362,You'd,655.898,655.998,0.003,SPEAKER_01
1363,be,656.018,656.098,0.449,SPEAKER_01
1364,"like,",656.138,656.819,0.281,SPEAKER_01
1365,I,656.839,656.859,0.009,
1366,don't,656.879,656.979,0.032,SPEAKER_01
1367,know,656.999,657.099,0.322,SPEAKER_01
1368,if,657.119,657.199,0.46,SPEAKER_01
1369,you,657.219,657.32,0.714,SPEAKER_01
1370,believe,657.5,657.72,0.356,SPEAKER_01
1371,me.,657.78,657.94,0.638,SPEAKER_01
1372,I'm,658.0,658.06,0.0,SPEAKER_01
1373,"like,",658.081,658.181,0.19,SPEAKER_01
1374,"yes,",658.201,658.441,0.83,SPEAKER_01
1375,I,658.541,658.601,0.865,SPEAKER_01
1376,do,658.621,658.741,0.548,SPEAKER_01
1377,think,658.781,658.902,0.987,SPEAKER_01
1378,about,658.942,659.102,0.752,SPEAKER_01
1379,leaving,659.142,659.342,0.751,SPEAKER_01
1380,you.,659.382,659.642,0.734,SPEAKER_01
1381,And,659.662,659.743,0.434,SPEAKER_01
1382,you're,659.763,659.903,0.307,SPEAKER_01
1383,"like,",659.923,660.203,0.272,SPEAKER_01
1384,what?,660.223,660.423,0.487,SPEAKER_01
1385,What,661.024,661.144,0.31,SPEAKER_01
1386,do,661.164,661.224,0.603,SPEAKER_01
1387,you,661.244,661.345,0.684,SPEAKER_01
1388,mean?,661.385,661.705,0.786,SPEAKER_01
1389,"Yeah,",663.627,663.848,0.64,SPEAKER_01
1390,I,663.968,664.048,0.889,SPEAKER_01
1391,know.,664.088,664.288,0.869,SPEAKER_01
1392,I,664.408,664.508,0.939,SPEAKER_01
1393,say,664.569,664.709,0.855,SPEAKER_01
1394,all,664.809,664.929,0.865,SPEAKER_01
1395,of,664.969,665.009,0.624,SPEAKER_01
1396,"that,",665.049,665.209,0.853,SPEAKER_01
1397,but,665.269,665.39,0.777,SPEAKER_01
1398,"like,",665.43,665.67,0.924,SPEAKER_01
1399,I,665.89,666.01,0.81,SPEAKER_01
1400,do,666.291,666.451,0.554,SPEAKER_01
1401,think,666.471,666.631,0.936,SPEAKER_01
1402,it's,666.691,666.871,0.801,SPEAKER_01
1403,healthy.,666.991,668.233,0.88,SPEAKER_01
1404,"Yeah,",670.154,670.594,0.187,SPEAKER_01
1405,they're,670.614,670.755,0.142,SPEAKER_00
1406,just,670.775,670.895,0.639,SPEAKER_00
1407,two,671.255,671.395,0.634,SPEAKER_01
1408,very,671.435,671.656,0.936,SPEAKER_01
1409,different,671.676,671.916,0.876,SPEAKER_01
1410,"people,",671.956,672.316,0.904,SPEAKER_01
1411,so,672.436,672.717,0.823,SPEAKER_01
1412,my,673.157,673.337,0.4,SPEAKER_01
1413,thoughts,673.357,673.678,0.283,SPEAKER_01
1414,on,673.978,674.058,0.907,SPEAKER_01
1415,that,674.098,674.298,0.95,SPEAKER_01
1416,is,674.378,674.458,0.732,SPEAKER_01
1417,very,674.518,674.699,0.945,SPEAKER_01
1418,different.,674.759,675.159,0.792,SPEAKER_01
1419,"Yeah,",675.439,675.68,0.624,SPEAKER_01
1420,for,675.9,676.04,0.936,SPEAKER_01
1421,"me,",676.08,676.24,0.949,SPEAKER_01
1422,the,676.28,676.38,0.929,SPEAKER_01
1423,journey,676.46,676.761,0.896,SPEAKER_01
1424,to,676.781,676.901,0.853,SPEAKER_01
1425,forever,676.961,677.341,0.784,SPEAKER_01
1426,is,677.421,677.501,0.777,SPEAKER_01
1427,with,677.521,677.722,0.832,SPEAKER_01
1428,regular,677.922,678.242,0.949,SPEAKER_01
1429,check-ins.,678.282,678.723,0.869,SPEAKER_01
1430,Do,679.804,680.124,0.59,SPEAKER_01
1431,you,680.144,680.204,0.302,SPEAKER_01
1432,know,680.304,680.404,0.457,SPEAKER_00
1433,what,680.624,680.705,0.242,SPEAKER_01
1434,I,681.005,681.045,0.46,SPEAKER_01
1435,mean?,681.065,681.165,0.318,SPEAKER_01
1436,So,681.245,681.285,0.0,SPEAKER_01
1437,I,681.305,681.325,0.0,SPEAKER_01
1438,check,681.345,681.545,0.914,SPEAKER_01
1439,with,681.585,681.666,0.192,SPEAKER_01
1440,myself,681.686,682.046,0.816,SPEAKER_01
1441,"often,",682.286,682.626,0.943,SPEAKER_01
1442,being,682.667,682.867,0.551,SPEAKER_01
1443,"like,",682.927,683.648,0.753,SPEAKER_01
1444,all,683.668,683.728,0.299,SPEAKER_01
1445,right.,686.731,686.931,0.38,SPEAKER_01
1446,We,686.951,687.051,0.722,SPEAKER_01
1447,good?,687.091,687.331,0.897,SPEAKER_01
1448,Yeah.,687.551,688.612,0.768,SPEAKER_01
1449,Why,690.214,690.414,0.928,SPEAKER_01
1450,am,690.534,690.614,0.83,SPEAKER_01
1451,I,690.815,690.875,0.858,SPEAKER_01
1452,in,691.115,691.195,0.968,SPEAKER_01
1453,your,691.235,691.395,0.789,SPEAKER_01
1454,life?,691.435,691.676,0.962,SPEAKER_01
1455,You...,699.123,700.144,0.75,SPEAKER_01
1456,in,700.647,700.967,0.804,SPEAKER_01
1457,my,701.027,701.148,0.986,SPEAKER_01
1458,life,701.208,701.468,0.908,SPEAKER_01
1459,because,701.608,702.149,0.836,SPEAKER_01
1460,I,702.189,702.209,0.998,SPEAKER_01
1461,really,705.713,705.933,0.834,SPEAKER_01
1462,chose,706.013,706.354,0.812,SPEAKER_01
1463,you,706.394,706.934,0.471,SPEAKER_01
1464,to,706.954,707.115,0.735,SPEAKER_01
1465,be,707.155,707.335,0.748,SPEAKER_01
1466,in,707.355,707.395,0.352,SPEAKER_01
1467,my,707.415,707.555,0.833,SPEAKER_01
1468,life.,707.615,707.936,0.915,SPEAKER_01
1469,From,708.016,709.297,0.928,SPEAKER_01
1470,the,709.357,709.457,0.856,SPEAKER_01
1471,moment,709.498,709.818,0.874,SPEAKER_01
1472,I,709.878,709.918,0.64,SPEAKER_01
1473,saw,709.938,710.238,0.511,SPEAKER_01
1474,"you,",710.278,710.399,0.907,SPEAKER_01
1475,I,710.439,710.519,0.733,SPEAKER_01
1476,was,710.539,710.599,0.002,SPEAKER_01
1477,"like,",710.619,710.839,0.969,SPEAKER_01
1478,"him,",710.879,711.4,0.914,SPEAKER_01
1479,I,712.481,712.541,0.981,SPEAKER_01
1480,want,712.561,712.821,0.535,SPEAKER_01
1481,him,712.882,713.002,0.879,SPEAKER_01
1482,in,713.082,713.162,0.964,SPEAKER_01
1483,my,713.182,713.282,0.876,SPEAKER_01
1484,life.,713.322,713.562,0.956,SPEAKER_01
1485,Because,714.624,714.904,0.9,SPEAKER_01
1486,you,714.964,715.124,0.982,SPEAKER_01
1487,just,715.324,715.525,0.789,SPEAKER_01
1488,came,715.665,715.905,0.965,SPEAKER_01
1489,off,716.005,716.125,0.969,SPEAKER_01
1490,at,716.966,717.026,0.828,SPEAKER_01
1491,that,717.087,717.227,0.875,SPEAKER_01
1492,engagement,717.287,717.707,0.934,SPEAKER_01
1493,"party,",717.767,717.887,0.315,SPEAKER_01
1494,you,717.907,718.008,0.569,SPEAKER_01
1495,came,718.028,718.188,0.908,SPEAKER_01
1496,off,718.268,718.388,0.91,SPEAKER_01
1497,so,718.528,718.909,0.997,SPEAKER_01
1498,"personable,",719.95,720.711,0.955,SPEAKER_01
1499,so,720.751,722.072,0.919,SPEAKER_01
1500,warm,722.513,722.953,0.873,SPEAKER_01
1501,to,723.034,723.134,0.91,SPEAKER_01
1502,everyone,723.254,723.594,0.844,SPEAKER_01
1503,that,723.634,723.714,0.452,SPEAKER_01
1504,you,723.754,723.875,0.652,SPEAKER_01
1505,spoke,723.915,724.235,0.684,SPEAKER_01
1506,"to,",724.255,724.515,0.613,SPEAKER_01
1507,so,724.635,724.816,0.892,SPEAKER_01
1508,attractive.,724.876,725.496,0.883,SPEAKER_01
1509,And,725.577,725.637,0.938,SPEAKER_01
1510,I,725.677,725.697,0.0,SPEAKER_01
1511,was,725.717,725.817,0.537,SPEAKER_01
1512,"like,",725.857,725.997,0.73,SPEAKER_01
1513,even,726.518,726.678,0.786,SPEAKER_01
1514,if,726.758,726.838,0.993,SPEAKER_01
1515,nothing,727.199,727.419,0.903,SPEAKER_01
1516,romantically,727.459,728.12,0.773,SPEAKER_01
1517,went,728.16,728.3,0.831,SPEAKER_01
1518,"ahead,",728.32,729.321,0.503,SPEAKER_01
1519,I,729.908,730.068,0.874,SPEAKER_01
1520,could,730.108,730.228,0.861,SPEAKER_01
1521,just,730.269,730.389,0.886,SPEAKER_01
1522,see,730.489,730.669,0.945,SPEAKER_01
1523,the,730.709,730.789,0.704,SPEAKER_01
1524,kindness,730.829,731.27,0.876,SPEAKER_01
1525,in,731.37,731.47,0.932,SPEAKER_01
1526,you,731.53,731.711,0.904,SPEAKER_01
1527,and,731.731,731.791,0.333,SPEAKER_01
1528,was,732.031,732.151,0.744,SPEAKER_01
1529,"like,",732.211,732.472,0.776,SPEAKER_01
1530,people,733.533,733.794,0.876,SPEAKER_01
1531,aren't,733.834,734.034,0.543,SPEAKER_01
1532,typically,734.054,734.335,0.716,SPEAKER_01
1533,kind,734.375,734.615,0.741,SPEAKER_01
1534,anymore.,734.795,736.117,0.757,SPEAKER_01
1535,So,737.119,737.319,0.832,SPEAKER_01
1536,when,737.399,737.519,0.974,SPEAKER_01
1537,you,737.539,737.659,0.807,SPEAKER_01
1538,come,737.7,737.84,0.814,SPEAKER_01
1539,across,737.88,738.12,0.85,SPEAKER_01
1540,"someone,",738.18,738.501,0.847,SPEAKER_01
1541,you're,738.521,738.661,0.56,SPEAKER_01
1542,"like,",738.681,738.821,0.959,SPEAKER_01
1543,"no,",738.861,738.981,0.921,SPEAKER_01
1544,I,739.021,739.102,0.741,SPEAKER_01
1545,have,739.242,739.422,0.942,SPEAKER_01
1546,to,739.462,739.562,0.901,SPEAKER_01
1547,have,739.622,739.823,0.767,SPEAKER_01
1548,you.,739.863,740.003,0.808,SPEAKER_01
1549,And,740.183,740.263,0.767,SPEAKER_01
1550,I,740.283,740.323,0.609,SPEAKER_01
1551,"think,",740.363,740.504,0.8,SPEAKER_01
1552,"yeah,",740.644,741.004,0.553,SPEAKER_01
1553,I,741.285,741.425,0.944,SPEAKER_01
1554,chose,741.966,742.286,0.908,SPEAKER_01
1555,to,742.346,742.507,0.998,SPEAKER_01
1556,and,742.627,742.707,0.799,SPEAKER_01
1557,I,742.767,742.827,0.878,SPEAKER_01
1558,choose,742.867,743.168,0.725,SPEAKER_01
1559,to,743.208,743.508,0.836,SPEAKER_01
1560,have,743.548,746.232,0.695,SPEAKER_01
1561,you,746.252,746.372,0.785,SPEAKER_01
1562,in,746.412,746.452,0.798,SPEAKER_01
1563,my,746.493,746.633,0.925,SPEAKER_01
1564,life.,746.693,746.993,0.988,SPEAKER_01
1565,You,749.437,749.577,0.8,SPEAKER_01
1566,make,749.617,749.777,0.844,SPEAKER_01
1567,me,749.837,749.958,0.932,SPEAKER_01
1568,a,750.018,750.038,0.994,SPEAKER_01
1569,better,750.078,750.258,0.931,SPEAKER_01
1570,person.,750.298,750.859,0.927,SPEAKER_01
1571,I,750.879,750.899,0.999,SPEAKER_01
1572,also,752.021,752.261,0.908,SPEAKER_01
1573,think,752.301,752.862,0.466,SPEAKER_01
1574,I,752.922,752.962,0.799,SPEAKER_01
1575,make,753.022,753.162,0.777,SPEAKER_01
1576,you,753.202,753.363,0.455,SPEAKER_01
1577,a,753.423,753.443,0.968,SPEAKER_01
1578,better,753.463,753.643,0.844,SPEAKER_01
1579,person.,753.683,754.124,0.933,SPEAKER_01
1580,For,754.164,754.985,0.563,SPEAKER_01
1581,sure.,755.025,756.287,0.758,SPEAKER_01
1582,I,760.891,760.991,0.752,SPEAKER_01
1583,"think,",761.011,761.312,0.953,SPEAKER_01
1584,like,761.712,761.872,0.886,SPEAKER_01
1585,you,761.912,762.013,0.933,SPEAKER_01
1586,said,762.053,762.193,0.696,SPEAKER_01
1587,"before,",762.253,762.674,0.886,SPEAKER_01
1588,you,763.154,763.294,0.843,SPEAKER_01
1589,see,763.354,763.515,0.958,SPEAKER_01
1590,things,763.575,763.915,0.767,SPEAKER_01
1591,in,763.995,764.055,0.974,SPEAKER_01
1592,me,764.096,764.216,0.972,SPEAKER_01
1593,that,764.256,764.356,0.869,SPEAKER_01
1594,I,764.416,764.476,0.946,SPEAKER_01
1595,might,764.516,764.656,0.935,SPEAKER_01
1596,not,764.696,764.796,0.977,SPEAKER_01
1597,see,764.877,765.097,0.988,SPEAKER_01
1598,for,765.317,765.437,0.852,SPEAKER_01
1599,my,765.477,765.558,0.986,SPEAKER_01
1600,future.,765.598,765.998,0.769,SPEAKER_01
1601,And,766.058,768.321,0.655,SPEAKER_01
1602,you,768.382,768.462,0.985,SPEAKER_01
1603,wanna,768.502,768.702,0.742,SPEAKER_01
1604,see,768.722,768.842,0.804,SPEAKER_01
1605,that,768.882,768.982,0.858,SPEAKER_01
1606,come,769.042,769.223,0.542,SPEAKER_01
1607,into,769.243,769.483,0.784,SPEAKER_01
1608,fruition.,769.543,770.084,0.841,SPEAKER_01
1609,And,770.104,770.164,0.334,SPEAKER_01
1610,I,770.545,770.585,0.938,SPEAKER_01
1611,think,770.645,770.845,0.979,SPEAKER_01
